all-words	327	24902	6166730	κατέβην	καταβαίνω	v1saia---	to step down	postag	PRED	0
all-words	327	24902	6166731	χθὲς	χθές	d--------	yesterday	postag	ADV	6166730
all-words	327	24902	6166732	εἰς	εἰς	r--------	into	postag	AuxP	6166730
all-words	327	24902	6166733	Πειραιᾶ	Πειραιεύς	n-s---ma-	Peiraeus	postag	OBJ	6166732
all-words	327	24902	6166734	μετὰ	μετά	r--------	(w gen) with	postag	AuxP	6166730
all-words	327	24902	6166735	Γλαύκωνος	Γλαύκων	n-s---mg-	Glaucon	postag	ADV	6166734
all-words	327	24902	6166737	Ἀρίστωνος	Ἀρίστων	n-s---mg-	Ariston	postag	ATR	6166735
all-words	327	24902	6166738	προσευξόμενός	προσεύχομαι	v-sfpmmn-	to offer prayers	postag	ADV	6166730
all-words	327	24902	6166739	τε	τε	b--------	and	postag	AuxY	6166738
all-words	327	24902	6166741	θεῷ	θεός	n-s---fd-	god	postag	OBJ	6166738
all-words	327	24902	6166742	καὶ	καί	b--------	and	postag	AuxY	6166746
all-words	327	24902	6166743	ἅμα	ἅμα	d--------	at once	postag	ADV	6166746
all-words	327	24902	6166745	ἑορτὴν	ἑορτή	n-s---fa-	a feast	postag	OBJ	6166747
all-words	327	24902	6166746	βουλόμενος	βούλομαι	v-sppemn-	to will	postag	CO	6166738
all-words	327	24902	6166747	θεάσασθαι	θεάομαι	v--anm---	to look on	postag	OBJ	6166746
all-words	327	24902	6166748	τίνα	τίς	a-s---ca-	who? which?	postag	ATR	6166749
all-words	327	24902	6166749	τρόπον	τρόπος	d--------	a turn	postag	ADV	6166750
all-words	327	24902	6166750	ποιήσουσιν	ποιέω	v3pfia---	to make	postag	OBJ	6166747
all-words	327	24902	6166751	ἅτε	ἅτε	d--------	just as (both pre-and postposed); w. part.: because	postag	AuxZ	6166754
all-words	327	24902	6166752	νῦν	νῦν	d--------	now at this very time	postag	ADV	6166754
all-words	327	24902	6166753	πρῶτον	πρῶτος	a-s---na-	first	postag	ADV	6166754
all-words	327	24902	6166754	ἄγοντες	ἄγω	v-pppamn-	to lead	postag	ADV	6166750
all-words	327	24903	6166756	καλὴ	καλός	a-s---fn-	beautiful	postag	PNOM	6166766
all-words	327	24903	6166757	μὲν	μέν	d--------	on the one hand	postag	AuxY	6166765
all-words	327	24903	6166758	οὖν	οὖν	d--------	so	postag	AuxY	6166765
all-words	327	24903	6166759	μοι	ἐγώ	p-s---cd-	I (first person pronoun)	postag	OBJ	6166765
all-words	327	24903	6166760	καὶ	καί	b--------	and	postag	AuxZ	6166764
all-words	327	24903	6166763	ἐπιχωρίων	ἐπιχώριος	a-p---mg-	in or of the country	postag	ATR	6166764
all-words	327	24903	6166764	πομπὴ	πομπή	n-s---fn-	conduct	postag	SBJ	6166765
all-words	327	24903	6166765	ἔδοξεν	δοκέω	v3saia---	seem	postag	PRED	0
all-words	327	24903	6166766	εἶναι	εἰμί	v--pna---	to be	postag	OBJ	6166765
all-words	327	24903	6166768	οὐ	οὐ	d--------	not	postag	AuxZ	6166771
all-words	327	24903	6166769	μέντοι	μέντοι	d--------	however	postag	AuxY	6166771
all-words	327	24903	6166770	ἧττον	ἥσσων	a-s---nac	less	postag	ADV	6166772
all-words	327	24903	6166771	ἐφαίνετο	φαίνω	v3siie---	to bring to light	postag	ExD	6166765
all-words	327	24903	6166772	πρέπειν	πρέπω	v--pna---	to be clearly seen	postag	OBJ	6166771
all-words	327	24903	6166773	ἣν	ὅς	p-s---fa-	who	postag	OBJ	6166776
all-words	327	24903	6166775	Θρᾷκες	Θρᾷξ	a-p---mn-	a Thracian;	postag	SBJ	6166776
all-words	327	24903	6166776	ἔπεμπον	πέμπω	v3piia---	to send	postag	ATR	6166770
all-words	327	24904	6166778	προσευξάμενοι	προσεύχομαι	v-papmmn-	to offer prayers	postag	ADV	6166782
all-words	327	24904	6166779	δὲ	δέ	b--------	but	postag	AuxY	6166782
all-words	327	24904	6166780	καὶ	καί	b--------	and	postag	AuxY	6166781
all-words	327	24904	6166781	θεωρήσαντες	θεωρέω	v-papamn-	to look at	postag	CO	6166778
all-words	327	24904	6166782	ἀπῇμεν	ἀπέρχομαι	v1piia---	to go away	postag	PRED	0
all-words	327	24904	6166783	πρὸς	πρός	r--------	(w. gen.) from; (w. dat.) at	postag	AuxP	6166782
all-words	327	24904	6166785	ἄστυ	ἄστυ	n-s---na-	a city	postag	OBJ	6166783
all-words	327	24905	6166787	κατιδὼν	κατοράω	v-sapamn-	nodef	postag	ADV	6166796
